siefore,afore,fecha,rendimiento
SB0,Promedio Ponderado,2026-03-13,0.05548
SB55-59,Promedio Ponderado,2026-03-13,0.05883
SB60-64,Promedio Ponderado,2026-03-13,0.0637
SB67-79,Promedio Ponderado,2026-03-13,0.071
SB90,Promedio Ponderado,2026-03-13,0.078
SB0,Azteca,2026-03-13,0.0611
SB0,Citibanamex,2026-03-13,0.0468
SB0,Coppel,2026-03-13,0.0612
SB0,Inbursa,2026-03-13,0.061
SB0,Invercap,2026-03-13,0.0576
SB0,PensionISSSTE,2026-03-13,0.0607
SB0,Principal,2026-03-13,0.0549
SB0,Profuturo GNP,2026-03-13,0.0472
SB0,SURA,2026-03-13,0.0561
SB0,XXI Banorte,2026-03-13,0.0555
